"Order Number ","Product Name"," Item SKU ","Variation ID"," Product Status ","Qty ","Variant","Product Image"
"16210","Floral Viscose Khemar","57066060236314","15222660268324","warehouse","1","Style 1 / Free size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/aMhgSFwZ1Yojcb7EsucHFcAxP7buFOrMM34CC2Xz_accbf919-2b76-4420-8bf6-0224752c1f1f.jpg?v=1711881127"
"16210","Lale Viscose Isdal","57066060136306","15222660301092","warehouse","1","1 / Free size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/vGJVCmvYRodgRCM8To9BKyKgRwwYnhXuy3l2WLMv.jpg?v=1714959370"
"16210","Lale Viscose Isdal","57066060136317","15222660333860","warehouse","1","2 / Free size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/20_172fde5b-a9ab-4044-9253-341f18bf279c.jpg?v=1714959369"
"16212","Black Waist Cover Up","57499160621700","15222784753956","warehouse","1","Free size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_011e0c35-7461-49b5-baef-d2f510709e4c.jpg?v=1719503134"
"16220","Black Waist Cover Up","57499160621700","15223066263844","warehouse","1","Free size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_011e0c35-7461-49b5-baef-d2f510709e4c.jpg?v=1719503134"
"16222","Ribbed Turban","57422525100100","15223138025764","warehouse","1","White","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/1_6f9000e2-9698-4a84-94d7-8dce8fcbfa98.jpg?v=1720619033"
"16222","Syrian Underscarf 2 pcs","10022424200300","15223138124068","warehouse","1","Bisque","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/QvEppiE9uHGx45HhvP0lHibU5sWnSVp2IwnLdx1R_1.jpg?v=1713090749"
"16225","Black Waist Cover Up","57499160621700","15223273554212","warehouse","1","Free size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_011e0c35-7461-49b5-baef-d2f510709e4c.jpg?v=1719503134"
"16226","Black Waist Cover Up","57499160621700","15223413997860","warehouse","1","Free size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_011e0c35-7461-49b5-baef-d2f510709e4c.jpg?v=1719503134"
"16228","Luxury Linen Scarf","10411030981127","15223452991780","warehouse","1","Silver","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/16_9cc999f9-41cd-4d65-8e1d-7a61c8616018.jpg?v=1716393445"
"16228","Luxury Linen Scarf","10411030981231","15223453024548","warehouse","1","BuffBeige","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/3_3d9556d5-b4c4-4ede-8ae7-702a59bb6e58.jpg?v=1716393473"
"16230","Plain Pure Scarf (Big Size)","10011020023019","15223503782180","warehouse","1","DesertSand","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/10011020023019.jpg?v=1719321388"
"16230","Plain Pure Scarf (Big Size)","10011020023219","15223503814948","warehouse","1","Brown","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/10011020023219.jpg?v=1719321174"
"16230","Plain Pure Scarf (Big Size)","10011020023214","15223503847716","warehouse","1","Navy","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/10011020023214.jpg?v=1719321340"
"16230","Plain Pure Scarf (Big Size)","10011020023217","15223503880484","warehouse","1","Black","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/10011020023217.jpg?v=1719320956"
"16232","Classy Linen Scarf","10011030979217","15223546970404","warehouse","1","Black","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/12_8f9ec2b0-ef68-4442-8f96-331a247c0ac6.jpg?v=1714211926"
"16234","Printed Satin Set","8","15223602643236","warehouse","1","2 / L/XL","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_112888c1-4483-47cc-9d59-d68de35f87cc.jpg?v=1720439402"
"16234","Black Waist Cover Up","57499160621700","15223602741540","warehouse","1","Free size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_011e0c35-7461-49b5-baef-d2f510709e4c.jpg?v=1719503134"
